config,num_robots,num_tasks,solver,seed,feasible,status,makespan,solver_time_sec,failure_reason
3r6t,3,6,greedy,100,True,greedy,109.43841771439547,0.0,
3r6t,3,6,greedy,101,True,greedy,109.2750443756442,0.0,
3r6t,3,6,greedy,102,True,greedy,76.40463207841164,0.0,
3r6t,3,6,greedy,103,True,greedy,104.99522109514044,0.0,
3r6t,3,6,greedy,104,False,failed,,0.0,task_deadline_conflict
3r6t,3,6,greedy,105,True,greedy,107.7865549819157,0.0005040168762207031,
3r6t,3,6,greedy,106,False,failed,,0.0,task_deadline_conflict
3r6t,3,6,greedy,107,True,greedy,100.3063111493475,0.0,
3r6t,3,6,greedy,108,True,greedy,93.2335088287346,0.0,
3r6t,3,6,greedy,109,True,greedy,124.21532438483548,0.0,
3r6t,3,6,smt,100,True,sat,49.216709131015044,0.07029318809509277,
3r6t,3,6,smt,101,True,sat,90.50734479071892,0.0703587532043457,
3r6t,3,6,smt,102,True,sat,49.048466676285656,0.13377118110656738,
6r12t,6,12,greedy,100,True,greedy,140.0350335584567,0.0,
6r12t,6,12,greedy,101,True,greedy,139.89011266491872,0.000997781753540039,
6r12t,6,12,greedy,102,True,greedy,173.56550336846138,0.0,
6r12t,6,12,greedy,103,True,greedy,145.04422644229996,0.0,
6r12t,6,12,greedy,104,True,greedy,94.4964013532831,0.0,
6r12t,6,12,greedy,105,True,greedy,86.01037936173526,0.0,
6r12t,6,12,greedy,106,True,greedy,149.28967188366144,0.0,
6r12t,6,12,greedy,107,True,greedy,195.7340205231879,0.0,
6r12t,6,12,greedy,108,True,greedy,120.33979653340997,0.0,
6r12t,6,12,greedy,109,True,greedy,142.98258744887568,0.0,
6r12t,6,12,smt,100,True,sat,69.0240764769921,3.0024333000183105,
6r12t,6,12,smt,101,True,sat,89.90498704230728,2.886240243911743,
6r12t,6,12,smt,102,True,sat,68.40684210404571,3.302788019180298,
7r14t,7,14,greedy,100,True,greedy,109.98171025512093,0.0,
7r14t,7,14,greedy,101,True,greedy,196.24296152369675,0.0,
7r14t,7,14,greedy,102,True,greedy,250.19108668795812,0.0,
7r14t,7,14,greedy,103,True,greedy,95.87741789167177,0.0009992122650146484,
7r14t,7,14,greedy,104,True,greedy,93.12320216928956,0.0,
7r14t,7,14,greedy,105,True,greedy,75.36794443084439,0.0,
7r14t,7,14,greedy,106,True,greedy,135.1315058683476,0.0,
7r14t,7,14,greedy,107,True,greedy,229.13763635539382,0.0,
7r14t,7,14,greedy,108,True,greedy,85.94433373131402,0.0,
7r14t,7,14,greedy,109,True,greedy,110.77182109966482,0.0,
7r14t,7,14,smt,100,True,sat,59.43735328183662,13.019778966903687,
7r14t,7,14,smt,101,True,sat,96.52914838810106,6.779710292816162,
7r14t,7,14,smt,102,True,sat,94.6162928907169,9.186970472335815,
8r16t,8,16,greedy,100,True,greedy,143.44330565430425,0.0,
8r16t,8,16,greedy,101,True,greedy,124.11516554433314,0.0,
8r16t,8,16,greedy,102,False,failed,,0.0,task_deadline_conflict
8r16t,8,16,greedy,103,True,greedy,145.66352927641393,0.0,
8r16t,8,16,greedy,104,True,greedy,137.90354321950267,0.0,
8r16t,8,16,greedy,105,True,greedy,99.16916813217567,0.0,
8r16t,8,16,greedy,106,True,greedy,125.61145429965333,0.0005269050598144531,
8r16t,8,16,greedy,107,True,greedy,171.0940241911544,0.0,
8r16t,8,16,greedy,108,True,greedy,99.54377096477056,0.0,
8r16t,8,16,greedy,109,True,greedy,94.76919568535148,0.0,
8r16t,8,16,smt,100,True,sat,62.11817076373825,26.944260597229004,
8r16t,8,16,smt,101,True,sat,77.62349178010426,10.26349663734436,
8r16t,8,16,smt,102,True,sat,88.51446962261502,14.314332246780396,
