config,num_robots,num_tasks,solver,seed,feasible,status,makespan,solver_time_sec,failure_reason
3r6t,3,6,Greedy,100,True,greedy,83.59103917561657,6.818771362304688e-05,
3r6t,3,6,Greedy,101,True,greedy,93.93462342137934,6.914138793945312e-05,
3r6t,3,6,Greedy,102,True,greedy,98.33447054759742,4.696846008300781e-05,
3r6t,3,6,Greedy,103,True,greedy,139.9981638667985,4.7206878662109375e-05,
3r6t,3,6,Greedy,104,True,greedy,56.29969129501478,4.482269287109375e-05,
3r6t,3,6,Greedy,105,True,greedy,86.51800456616527,5.1975250244140625e-05,
3r6t,3,6,Greedy,106,True,greedy,115.6077425198956,4.410743713378906e-05,
3r6t,3,6,Greedy,107,True,greedy,79.18509969098027,4.482269287109375e-05,
3r6t,3,6,Greedy,108,True,greedy,92.56251229493262,4.410743713378906e-05,
3r6t,3,6,Greedy,109,True,greedy,145.90064348578534,4.315376281738281e-05,
3r6t,3,6,VeriROS-SMT,100,True,sat,83.59103917561657,0.035604000091552734,
3r6t,3,6,VeriROS-SMT,101,True,sat,53.88506031628117,0.035980939865112305,
3r6t,3,6,VeriROS-SMT,102,True,sat,78.93145618261512,0.05485415458679199,
6r12t,6,12,Greedy,100,True,greedy,153.23492180018368,0.00012683868408203125,
6r12t,6,12,Greedy,101,True,greedy,127.86969050748357,0.000125885009765625,
6r12t,6,12,Greedy,102,True,greedy,127.80943543278681,0.0001270771026611328,
6r12t,6,12,Greedy,103,True,greedy,130.48921571909284,0.00011014938354492188,
6r12t,6,12,Greedy,104,True,greedy,115.01535843812704,0.0001049041748046875,
6r12t,6,12,Greedy,105,True,greedy,136.5968336142702,0.00010418891906738281,
6r12t,6,12,Greedy,106,True,greedy,176.1533073353279,0.00010395050048828125,
6r12t,6,12,Greedy,107,True,greedy,134.16272447491534,0.00010514259338378906,
6r12t,6,12,Greedy,108,True,greedy,155.9568511063949,0.000102996826171875,
6r12t,6,12,Greedy,109,True,greedy,102.07044057494478,0.0001049041748046875,
6r12t,6,12,VeriROS-SMT,100,True,sat,89.3979119819675,1.1718599796295166,
6r12t,6,12,VeriROS-SMT,101,True,sat,108.31625533279889,0.9238870143890381,
6r12t,6,12,VeriROS-SMT,102,True,sat,99.1962466266668,1.1381700038909912,
7r14t,7,14,Greedy,100,True,greedy,187.30180504662263,0.00015115737915039062,
7r14t,7,14,Greedy,101,True,greedy,167.02535309240162,0.00015997886657714844,
7r14t,7,14,Greedy,102,True,greedy,176.091354266317,0.00014901161193847656,
7r14t,7,14,Greedy,103,True,greedy,175.5569184211981,0.00014281272888183594,
7r14t,7,14,Greedy,104,True,greedy,145.25102496311976,0.00014209747314453125,
7r14t,7,14,Greedy,105,True,greedy,129.63992915913417,0.0001270771026611328,
7r14t,7,14,Greedy,106,True,greedy,162.83157123330204,0.0001232624053955078,
7r14t,7,14,Greedy,107,True,greedy,146.3128757833475,0.00012302398681640625,
7r14t,7,14,Greedy,108,True,greedy,187.9431946696218,0.0001289844512939453,
7r14t,7,14,Greedy,109,True,greedy,178.07682121720768,0.00012302398681640625,
7r14t,7,14,VeriROS-SMT,100,True,sat,111.14919905263153,2.343092918395996,
7r14t,7,14,VeriROS-SMT,101,True,sat,100.27964262570475,2.9522056579589844,
7r14t,7,14,VeriROS-SMT,102,True,sat,105.523015761476,3.090955972671509,
8r16t,8,16,Greedy,100,True,greedy,156.15025303021508,0.00019407272338867188,
8r16t,8,16,Greedy,101,True,greedy,184.1188800331976,0.0001609325408935547,
8r16t,8,16,Greedy,102,True,greedy,147.77710313715355,0.0001552104949951172,
8r16t,8,16,Greedy,103,True,greedy,160.38245434601666,0.00016999244689941406,
8r16t,8,16,Greedy,104,True,greedy,165.07942802580976,0.00014901161193847656,
8r16t,8,16,Greedy,105,True,greedy,192.75735099853546,0.0001499652862548828,
8r16t,8,16,Greedy,106,True,greedy,184.57429443026177,0.0001690387725830078,
8r16t,8,16,Greedy,107,True,greedy,229.45839401010994,0.0002002716064453125,
8r16t,8,16,Greedy,108,True,greedy,216.05267619930402,0.0001800060272216797,
8r16t,8,16,Greedy,109,True,greedy,142.01485160571346,0.0001728534698486328,
8r16t,8,16,VeriROS-SMT,100,True,sat,104.16990206411703,5.510702848434448,
8r16t,8,16,VeriROS-SMT,101,True,sat,115.04438105069482,4.750974893569946,
8r16t,8,16,VeriROS-SMT,102,True,sat,110.74031283345468,4.36197304725647,
